"","Location","Range_Min","Range_Max","Magic","Avg_Relative_Error","Max_Relative_Error","N","Bottom"
"2946",90,1.85530598958333,1.8759765625,1597166659,2.92687076353104e-07,9.74290628619201e-07,96,"point0156"
"2947",91,1.8759765625,1.89664713541667,1597185995,3.3427031098654e-07,1.06143147604598e-06,96,"point0156"
"2948",92,1.89664713541667,1.91731770833333,1597206154,3.6910108747179e-07,1.15545981316245e-06,96,"point0156"
"2949",93,1.91731770833333,1.93798828125,1597227670,4.11980892067731e-07,1.32066566038702e-06,96,"point0156"
"2950",94,1.93798828125,1.95865885416667,1597249869,4.58273632375494e-07,1.41810312470625e-06,96,"point0156"
"2951",95,1.95865885416667,1.97932942708333,1597273517,5.08670893850649e-07,1.58504144565086e-06,96,"point0156"
"2952",96,1.97932942708333,2,1597297776,5.53734935238026e-07,1.68586802828941e-06,96,"point0156"
"2953",1,0.015625,0.0311279296875,1597469657,0.000919066544156522,0.00165290269069374,128,"point0156"
"2954",2,0.0311279296875,0.046630859375,1597201917,5.92981159570627e-05,0.00012416897516232,128,"point0156"
"2955",3,0.046630859375,0.0621337890625,1597519775,0.00070313090691343,0.00141536188311875,128,"point0156"
"2956",4,0.0621337890625,0.07763671875,1597655168,0.000256340630585328,0.000742302392609417,128,"point0156"
"2957",5,0.07763671875,0.0931396484375,1597180494,4.96345746796578e-05,0.000131189895910211,128,"point0156"
"2958",6,0.0931396484375,0.108642578125,1597053701,1.93266964743088e-06,3.92925085179741e-06,128,"point0156"
"2959",7,0.108642578125,0.1241455078125,1597187419,4.28418716182932e-05,0.000118979005492292,128,"point0156"
"2960",8,0.1241455078125,0.1396484375,1597234060,2.10657890420407e-05,6.15361714153551e-05,128,"point0156"
"2961",9,0.1396484375,0.1551513671875,1597133819,3.91584262615652e-06,9.62319245445542e-06,128,"point0156"
"2962",10,0.1551513671875,0.170654296875,1597119172,1.25207293422136e-06,2.46223021349579e-06,128,"point0156"
"2963",11,0.170654296875,0.1861572265625,1597176968,1.03274405773846e-05,2.96257894660812e-05,128,"point0156"
"2964",12,0.1861572265625,0.20166015625,1597291063,2.71450571744936e-05,7.98266919446178e-05,128,"point0156"
"2965",13,0.20166015625,0.2171630859375,1597451110,4.88728765049018e-05,0.000145547281135805,128,"point0156"
"2966",14,0.2171630859375,0.232666015625,1597649110,7.43931232136674e-05,0.000221723807044327,128,"point0156"
"2967",15,0.232666015625,0.2481689453125,1597848989,8.48982017487288e-05,0.000175608700374141,128,"point0156"
"2968",16,0.2481689453125,0.263671875,1597922601,2.02512856048997e-05,6.10953065915965e-05,128,"point0156"
"2969",17,0.263671875,0.2791748046875,1597716935,1.9143875761074e-05,5.78215403947979e-05,128,"point0156"
"2970",18,0.2791748046875,0.294677734375,1597535681,1.36008902700269e-05,4.06899052904919e-05,128,"point0156"
"2971",19,0.294677734375,0.3101806640625,1597388967,9.26884604268707e-06,2.76855571428314e-05,128,"point0156"
